         93968 function calls (91362 primitive calls) in 33.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1607   17.763    0.011   17.763    0.011 rgb-depth-encoding.py:218(dequeue)
      401    5.614    0.014    5.614    0.014 {method 'filter' of 'cv2.ximgproc_DisparityFilter' objects}
        1    3.303    3.303   33.049   33.049 rgb-depth-encoding.py:3(<module>)
      401    2.969    0.007    2.969    0.007 {method 'write' of 'cv2.VideoWriter' objects}
       31    0.797    0.026    0.797    0.026 {medianBlur}
      401    0.599    0.001    6.531    0.016 rgb-depth-encoding.py:154(filter)
      833    0.581    0.001    0.581    0.001 {method 'astype' of 'numpy.ndarray' objects}
      432    0.392    0.001    0.392    0.001 {applyColorMap}
       31    0.363    0.012    0.363    0.012 {imwrite}
      401    0.337    0.001    7.479    0.019 rgb-depth-encoding.py:224(apply_wls_filter)
      401    0.104    0.000    0.104    0.000 {flip}
      802    0.069    0.000    0.072    0.000 {method 'tofile' of 'numpy.ndarray' objects}
     21/2    0.026    0.001    0.111    0.055 {built-in method _imp.create_dynamic}
      320    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
      126    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
      402    0.008    0.000    0.008    0.000 {method 'strftime' of 'datetime.date' objects}
       31    0.007    0.000    0.007    0.000 {normalize}
      648    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      810    0.005    0.000    0.013    0.000 _ufunc_config.py:32(seterr)
      810    0.004    0.000    0.005    0.000 _ufunc_config.py:132(geterr)
  290/287    0.003    0.000    0.006    0.000 {built-in method builtins.__build_class__}
      811    0.002    0.000    0.002    0.000 {built-in method numpy.seterrobj}
      402    0.002    0.000    0.002    0.000 {built-in method now}
      803    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      273    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      405    0.002    0.000    0.008    0.000 _ufunc_config.py:438(__exit__)
    476/1    0.002    0.000   33.049   33.049 {built-in method builtins.exec}
     1622    0.002    0.000    0.002    0.000 {built-in method numpy.geterrobj}
      126    0.001    0.000    0.001    0.000 {built-in method io.open_code}
    86/32    0.001    0.000    0.004    0.000 sre_parse.py:493(_parse)
      126    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      620    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
    21/16    0.001    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
     3983    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
   204/67    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      401    0.001    0.000    0.001    0.000 {method 'setLambda' of 'cv2.ximgproc_DisparityWLSFilter' objects}
     1422    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      405    0.001    0.000    0.008    0.000 _ufunc_config.py:433(__enter__)
       15    0.001    0.000    0.294    0.020 __init__.py:1(<module>)
      290    0.001    0.000    0.004    0.000 overrides.py:93(verify_matching_signatures)
      330    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
       70    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      126    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     1422    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      803    0.001    0.000    0.003    0.000 abc.py:96(__instancecheck__)
      320    0.001    0.000    0.023    0.000 overrides.py:187(decorator)
      405    0.001    0.000    0.001    0.000 _ufunc_config.py:429(__init__)
      169    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      401    0.001    0.000    0.001    0.000 {built-in method math.tan}
     6663    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
   166/29    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
      473    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      252    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      624    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      473    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
    175/4    0.001    0.000    0.116    0.029 <frozen importlib._bootstrap>:986(_find_and_load)
       17    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
    162/4    0.001    0.000    0.115    0.029 <frozen importlib._bootstrap>:650(_load_unlocked)
      615    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      126    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      473    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      154    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
        1    0.001    0.001    0.001    0.001 _polybase.py:18(ABCPolyBase)
      162    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       28    0.000    0.000    0.001    0.000 inspect.py:625(cleandoc)
      630    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x907780}
    174/4    0.000    0.000    0.116    0.029 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
4840/4664    0.000    0.000    0.001    0.000 {built-in method builtins.len}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       68    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
     1551    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      280    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
     1984    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      401    0.000    0.000    0.000    0.000 {method 'setSigmaColor' of 'cv2.ximgproc_DisparityWLSFilter' objects}
   182/19    0.000    0.000    0.089    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1155    0.000    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     1079    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
     1621    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
    329/3    0.000    0.000    0.092    0.031 {built-in method builtins.__import__}
     1758    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      212    0.000    0.000    0.008    0.000 re.py:289(_compile)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      401    0.000    0.000    0.000    0.000 {built-in method math.radians}
     3101    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3257    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      126    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    126/3    0.000    0.000    0.107    0.036 <frozen importlib._bootstrap_external>:777(exec_module)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1493(_guarded_repr_or_str)
      623    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
   162/17    0.000    0.000    0.111    0.007 <frozen importlib._bootstrap>:549(module_from_spec)
     1307    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      874    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
      624    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      328    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      580    0.000    0.000    0.000    0.000 <string>:1(__new__)
    78/29    0.000    0.000    0.004    0.000 sre_parse.py:435(_parse_sub)
     1072    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      368    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      624    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.005    0.005 core.py:1(<module>)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      620    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
     1123    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       29    0.000    0.000    0.001    0.000 argparse.py:1349(add_argument)
     1123    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      280    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      962    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      208    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       29    0.000    0.000    0.007    0.000 sre_compile.py:759(compile)
      154    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
       29    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      280    0.000    0.000    0.000    0.000 function_base.py:461(_add_docstring)
    247/5    0.000    0.000    0.115    0.023 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       51    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      192    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      126    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.004    0.004 defchararray.py:1(<module>)
      320    0.000    0.000    0.000    0.000 overrides.py:145(array_function_dispatch)
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
      368    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       29    0.000    0.000    0.001    0.000 argparse.py:169(__init__)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
      613    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      365    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      444    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      265    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       29    0.000    0.000    0.005    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
        6    0.000    0.000    0.000    0.000 numeric.py:2521(extend_all)
       68    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      305    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 {createDisparityWLSFilterGeneric}
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f4e6e731940}
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       29    0.000    0.000    0.000    0.000 shutil.py:1298(get_terminal_size)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:52(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.007    0.003 shape_base.py:1(<module>)
      146    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1786(parse_known_args)
      307    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      247    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       66    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
      867    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:1134(_Unpickler)
       50    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      175    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       64    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       29    0.000    0.000    0.000    0.000 enum.py:833(__and__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      349    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      379    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       56    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       95    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       28    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
      438    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      112    0.000    0.000    0.001    0.000 re.py:188(match)
       29    0.000    0.000    0.000    0.000 argparse.py:1490(_get_optional_kwargs)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
    34/26    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       84    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       29    0.000    0.000    0.000    0.000 argparse.py:598(_format_args)
       50    0.000    0.000    0.000    0.000 _internal.py:780(_ufunc_doc_signature_formatter)
       80    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
